Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/03/2019","0607","N15751","ORD","21:02","20:52","110","105","-10","20:47","5","0","0","0","0","0"
"UA","04/03/2022","1041","N436UA","DEN","15:11","15:16","202","190","5","15:09","7","0","0","0","0","0"
"UA","04/03/2022","1185","N844UA","ORD","22:04","22:47","113","98","43","22:42","5","43","0","0","0","0"
"UA","04/03/2022","2027","N479UA","IAD","23:37","23:38","70","71","1","23:30","8","0","0","0","0","0"
"UA","04/03/2023","0538","N881UA","ORD","21:34","21:32","114","119","-2","21:26","6","0","0","0","0","0"
"UA","04/03/2023","0604","N822UA","DEN","15:12","15:07","201","179","-5","15:01","6","0","0","0","0","0"
"UA","04/03/2023","1412","N24736","EWR","23:42","23:18","72","52","-24","23:13","5","0","0","0","0","0"
"UA","04/04/2019","0607","N39728","ORD","21:02","21:03","110","114","1","20:59","4","0","0","0","0","0"
"UA","04/04/2022","1041","N837UA","DEN","15:06","14:54","198","192","-12","14:49","5","0","0","0","0","0"
"UA","04/04/2022","1185","N832UA","ORD","21:59","21:29","113","89","-30","21:24","5","0","0","0","0","0"
"UA","04/04/2022","2027","N850UA","IAD","23:37","23:41","70","85","4","23:36","5","0","0","0","0","0"
"UA","04/04/2023","0538","N827UA","ORD","21:34","21:42","114","106","8","21:37","5","0","0","0","0","0"
"UA","04/04/2023","0604","N810UA","DEN","15:12","15:57","201","216","45","15:52","5","15","0","15","0","15"
"UA","04/04/2023","1412","N39728","EWR","23:42","00:31","72","63","49","00:26","5","39","0","0","0","10"
"UA","04/05/2019","0607","N24702","ORD","21:02","23:28","110","95","146","23:24","4","0","0","5","0","141"
"UA","04/05/2022","1041","N815UA","DEN","15:06","14:38","198","178","-28","14:33","5","0","0","0","0","0"
"UA","04/05/2022","1185","N848UA","ORD","21:59","22:17","113","94","18","22:12","5","0","0","0","0","18"
"UA","04/05/2022","2027","N813UA","IAD","23:37","08:11","70","84","514","08:07","4","58","0","14","0","442"
"UA","04/05/2023","0538","N817UA","ORD","21:34","01:21","114","88","227","01:17","4","0","0","0","0","227"
"UA","04/05/2023","0604","N889UA","DEN","15:12","14:46","201","181","-26","14:40","6","0","0","0","0","0"
"UA","04/05/2023","1412","N13718","EWR","23:42","00:32","72","99","50","00:26","6","23","0","27","0","0"
"UA","04/06/2019","0607","N486UA","ORD","21:02","20:57","110","109","-5","20:49","8","0","0","0","0","0"
"UA","04/06/2022","1041","N818UA","DEN","15:06","15:07","198","182","1","15:03","4","0","0","0","0","0"
"UA","04/06/2022","1185","N844UA","ORD","21:59","21:35","113","99","-24","21:31","4","0","0","0","0","0"
"UA","04/06/2022","2027","N894UA","IAD","23:37","01:00","70","63","83","00:52","8","83","0","0","0","0"
"UA","04/06/2023","0538","N899UA","ORD","21:34","21:24","114","103","-10","21:18","6","0","0","0","0","0"
"UA","04/06/2023","0604","N853UA","DEN","15:12","15:40","201","168","28","15:36","4","28","0","0","0","0"
"UA","04/06/2023","1412","N17753","EWR","23:42","23:34","72","60","-8","23:27","7","0","0","0","0","0"
"UA","04/07/2019","0607","N17719","ORD","21:02","22:27","110","176","85","22:22","5","0","19","66","0","0"
"UA","04/07/2022","1041","N877UA","DEN","15:06","16:10","198","205","64","16:05","5","47","0","7","0","10"
"UA","04/07/2022","1185","N872UA","ORD","21:59","21:54","113","105","-5","21:49","5","0","0","0","0","0"
"UA","04/07/2022","2027","N829UA","IAD","23:37","23:18","70","57","-19","23:13","5","0","0","0","0","0"
"UA","04/07/2023","0538","N24212","ORD","21:34","21:28","114","105","-6","21:21","7","0","0","0","0","0"
"UA","04/07/2023","0604","N855UA","DEN","15:12","14:53","201","179","-19","14:47","6","0","0","0","0","0"
"UA","04/07/2023","1412","N27733","EWR","23:42","23:54","72","71","12","23:46","8","0","0","0","0","0"
"UA","04/08/2019","0607","N16732","ORD","21:02","20:53","110","106","-9","20:48","5","0","0","0","0","0"
"UA","04/08/2022","1041","N837UA","DEN","15:06","15:05","198","202","-1","15:01","4","0","0","0","0","0"
"UA","04/08/2022","1185","N832UA","ORD","21:59","21:51","113","104","-8","21:47","4","0","0","0","0","0"
"UA","04/08/2022","2027","N848UA","IAD","23:37","23:37","70","62","0","23:31","6","0","0","0","0","0"
"UA","04/08/2023","0538","N820UA","ORD","21:34","21:19","114","106","-15","21:14","5","0","0","0","0","0"
"UA","04/08/2023","0604","N840UA","DEN","15:12","14:54","201","188","-18","14:48","6","0","0","0","0","0"
"UA","04/08/2023","1412","N27515","EWR","23:17","23:14","72","65","-3","23:09","5","0","0","0","0","0"
"UA","04/09/2019","0607","N432UA","ORD","21:02","20:45","110","100","-17","20:39","6","0","0","0","0","0"
"UA","04/09/2022","1041","N424UA","DEN","15:11","15:08","202","200","-3","15:03","5","0","0","0","0","0"
"UA","04/09/2022","1185","N817UA","ORD","20:58","20:51","113","104","-7","20:46","5","0","0","0","0","0"
"UA","04/09/2022","2027","N898UA","IAD","23:37","23:51","70","62","14","23:45","6","0","0","0","0","0"
"UA","04/09/2023","0538","N808UA","ORD","21:34","21:28","114","112","-6","21:23","5","0","0","0","0","0"
"UA","04/09/2023","0604","N817UA","DEN","15:12","15:33","201","197","21","15:29","4","21","0","0","0","0"
"UA","04/09/2023","1412","N13716","EWR","23:42","23:42","72","57","0","23:37","5","0","0","0","0","0"
"UA","04/10/2019","0607","N21723","ORD","21:02","20:43","110","94","-19","20:39","4","0","0","0","0","0"
"UA","04/10/2022","1041","N826UA","DEN","15:11","14:58","202","188","-13","14:54","4","0","0","0","0","0"
"UA","04/10/2022","1185","N848UA","ORD","22:04","21:43","113","94","-21","21:39","4","0","0","0","0","0"
"UA","04/10/2022","2027","N823UA","IAD","23:37","23:40","70","77","3","23:33","7","0","0","0","0","0"
"UA","04/10/2023","0538","N851UA","ORD","21:34","21:23","114","106","-11","21:18","5","0","0","0","0","0"
"UA","04/10/2023","0604","N840UA","DEN","15:12","15:33","201","225","21","15:26","7","0","0","21","0","0"
"UA","04/10/2023","1412","N16713","EWR","23:42","23:31","72","60","-11","23:27","4","0","0","0","0","0"
"UA","04/11/2019","0607","N27733","ORD","21:02","21:00","110","92","-2","20:57","3","0","0","0","0","0"
"UA","04/11/2022","1041","N409UA","DEN","15:06","14:35","198","178","-31","14:30","5","0","0","0","0","0"
"UA","04/11/2022","1185","N890UA","ORD","21:59","21:46","113","104","-13","21:41","5","0","0","0","0","0"
"UA","04/11/2022","2027","N827UA","IAD","23:37","23:31","70","67","-6","23:26","5","0","0","0","0","0"
"UA","04/11/2023","0538","N818UA","ORD","21:34","21:26","114","109","-8","21:22","4","0","0","0","0","0"
"UA","04/11/2023","0604","N831UA","DEN","15:12","15:19","201","208","7","15:14","5","0","0","0","0","0"
"UA","04/11/2023","1412","N12754","EWR","23:42","23:24","72","64","-18","23:19","5","0","0","0","0","0"
"UA","04/12/2019","0607","N16703","ORD","21:02","20:50","110","102","-12","20:46","4","0","0","0","0","0"
"UA","04/12/2022","1041","N497UA","DEN","15:06","15:00","198","186","-6","14:54","6","0","0","0","0","0"
"UA","04/12/2022","1185","N409UA","ORD","21:59","23:48","113","100","109","23:43","5","17","0","0","0","92"
"UA","04/12/2022","2027","N851UA","IAD","23:37","00:02","70","70","25","23:51","11","25","0","0","0","0"
"UA","04/12/2023","0538","N418UA","ORD","21:34","21:24","114","106","-10","21:19","5","0","0","0","0","0"
"UA","04/12/2023","0604","N466UA","DEN","15:12","15:46","201","238","34","15:41","5","0","0","34","0","0"
"UA","04/12/2023","1412","N14731","EWR","23:42","23:24","72","62","-18","23:20","4","0","0","0","0","0"
"UA","04/13/2019","0607","N443UA","ORD","21:02","20:56","110","105","-6","20:52","4","0","0","0","0","0"
"UA","04/13/2022","1041","N461UA","DEN","15:06","15:05","198","197","-1","14:59","6","0","0","0","0","0"
"UA","04/13/2022","1185","N897UA","ORD","21:59","00:40","113","103","161","00:36","4","24","0","0","0","137"
"UA","04/13/2022","2027","N896UA","IAD","23:37","23:45","70","61","8","23:40","5","0","0","0","0","0"
"UA","04/13/2023","0538","N458UA","ORD","21:34","21:26","114","104","-8","21:21","5","0","0","0","0","0"
"UA","04/13/2023","0604","N412UA","DEN","15:12","15:15","201","201","3","15:10","5","0","0","0","0","0"
"UA","04/13/2023","1412","N29717","EWR","23:42","23:26","72","57","-16","23:22","4","0","0","0","0","0"
"UA","04/14/2019","0607","","ORD","21:02","00:00","110","0","0","00:00","0","0","0","0","0","0"
"UA","04/14/2022","1041","N444UA","DEN","15:06","14:59","198","198","-7","14:44","15","0","0","0","0","0"
"UA","04/14/2022","1185","N847UA","ORD","21:59","21:55","113","102","-4","21:50","5","0","0","0","0","0"
"UA","04/14/2022","2027","N889UA","IAD","23:37","23:34","70","74","-3","23:28","6","0","0","0","0","0"
"UA","04/14/2023","0538","N24211","ORD","21:34","21:17","114","101","-17","21:13","4","0","0","0","0","0"
"UA","04/14/2023","0604","N851UA","DEN","15:12","15:05","201","197","-7","15:00","5","0","0","0","0","0"
"UA","04/14/2023","1412","N54711","EWR","23:42","23:52","72","77","10","23:49","3","0","0","0","0","0"
"UA","04/15/2019","0607","N24736","ORD","21:02","21:12","110","102","10","21:06","6","0","0","0","0","0"
"UA","04/15/2022","1041","N425UA","DEN","15:06","15:01","198","188","-5","14:55","6","0","0","0","0","0"
"UA","04/15/2022","2027","N36469","IAD","23:37","23:40","70","70","3","23:34","6","0","0","0","0","0"
"UA","04/15/2023","0538","N482UA","ORD","21:34","23:39","114","103","125","23:34","5","12","0","0","0","113"
"UA","04/15/2023","0604","N812UA","DEN","15:12","16:18","201","194","66","16:13","5","0","0","0","0","66"
"UA","04/15/2023","1412","N37502","EWR","23:17","18:55","72","93","1178","18:48","7","0","1157","21","0","0"
"UA","04/16/2019","0607","N415UA","ORD","21:02","20:57","110","105","-5","20:52","5","0","0","0","0","0"
"UA","04/16/2022","1041","N850UA","DEN","15:11","15:09","202","186","-2","15:04","5","0","0","0","0","0"
"UA","04/16/2022","1185","N822UA","ORD","20:58","20:40","113","103","-18","20:36","4","0","0","0","0","0"
"UA","04/16/2022","2027","N808UA","IAD","23:37","23:34","70","67","-3","23:28","6","0","0","0","0","0"
"UA","04/16/2023","0538","N893UA","ORD","21:34","21:27","114","104","-7","21:22","5","0","0","0","0","0"
"UA","04/16/2023","0604","N428UA","DEN","15:12","15:06","201","197","-6","15:01","5","0","0","0","0","0"
"UA","04/16/2023","1412","N24702","EWR","23:42","02:10","72","66","148","02:07","3","90","0","0","0","58"
"UA","04/17/2019","0607","N23707","ORD","21:02","20:49","110","101","-13","20:45","4","0","0","0","0","0"
"UA","04/17/2022","1041","N834UA","DEN","15:11","15:00","202","193","-11","14:56","4","0","0","0","0","0"
"UA","04/17/2022","1185","N494UA","ORD","22:04","22:50","113","95","46","22:45","5","6","0","0","0","40"
"UA","04/17/2022","2027","N877UA","IAD","23:37","23:39","70","72","2","23:31","8","0","0","0","0","0"
"UA","04/17/2023","0538","N875UA","ORD","21:34","21:17","114","99","-17","21:12","5","0","0","0","0","0"
"UA","04/17/2023","0604","N873UA","DEN","15:12","15:11","201","187","-1","15:07","4","0","0","0","0","0"
"UA","04/17/2023","1412","N21723","EWR","23:42","00:10","72","59","28","00:04","6","28","0","0","0","0"
"UA","04/18/2019","0607","N12754","ORD","21:02","20:46","110","102","-16","20:42","4","0","0","0","0","0"
"UA","04/18/2022","1041","N429UA","DEN","15:06","16:00","198","186","54","15:55","5","0","0","0","0","54"
"UA","04/18/2022","1185","N816UA","ORD","21:59","21:44","113","102","-15","21:39","5","0","0","0","0","0"
"UA","04/18/2022","2027","N898UA","IAD","23:37","23:29","70","63","-8","23:23","6","0","0","0","0","0"
"UA","04/18/2023","0538","N825UA","ORD","21:34","22:15","114","103","41","22:11","4","1","0","0","0","40"
"UA","04/18/2023","0604","N851UA","DEN","15:12","15:00","201","196","-12","14:55","5","0","0","0","0","0"
"UA","04/18/2023","1412","N24729","EWR","23:42","01:29","72","48","107","01:25","4","0","0","77","0","30"
"UA","04/19/2019","0607","N17752","ORD","21:02","20:54","110","107","-8","20:47","7","0","0","0","0","0"
"UA","04/19/2022","1041","N463UA","DEN","15:06","15:00","198","192","-6","14:55","5","0","0","0","0","0"
"UA","04/19/2022","1185","N848UA","ORD","21:59","21:42","113","106","-17","21:34","8","0","0","0","0","0"
"UA","04/19/2022","2027","N845UA","IAD","23:37","23:29","70","66","-8","23:24","5","0","0","0","0","0"
"UA","04/19/2023","0538","N833UA","ORD","21:34","21:23","114","105","-11","21:19","4","0","0","0","0","0"
"UA","04/19/2023","0604","N851UA","DEN","15:12","15:11","201","197","-1","15:07","4","0","0","0","0","0"
"UA","04/19/2023","1412","N15751","EWR","23:42","23:26","72","58","-16","23:19","7","0","0","0","0","0"
"UA","04/20/2019","0607","N471UA","ORD","21:02","20:53","110","105","-9","20:47","6","0","0","0","0","0"
"UA","04/20/2022","1041","N408UA","DEN","15:06","15:02","198","190","-4","14:57","5","0","0","0","0","0"
"UA","04/20/2022","1185","N851UA","ORD","21:59","21:39","113","93","-20","21:34","5","0","0","0","0","0"
"UA","04/20/2022","2027","N813UA","IAD","23:37","23:25","70","64","-12","23:21","4","0","0","0","0","0"
"UA","04/20/2023","0538","N453UA","ORD","21:34","23:50","114","132","136","23:38","12","0","0","18","0","118"
"UA","04/20/2023","0604","N819UA","DEN","15:12","15:12","201","201","0","15:08","4","0","0","0","0","0"
"UA","04/20/2023","1412","N39728","EWR","23:42","23:36","72","62","-6","23:31","5","0","0","0","0","0"
"UA","04/21/2019","0607","N16709","ORD","21:02","21:01","110","112","-1","20:57","4","0","0","0","0","0"
"UA","04/21/2022","1041","N406UA","DEN","15:06","14:56","198","181","-10","14:51","5","0","0","0","0","0"
"UA","04/21/2022","1185","N826UA","ORD","21:59","21:43","113","98","-16","21:39","4","0","0","0","0","0"
"UA","04/21/2022","2027","N835UA","IAD","23:37","23:33","70","71","-4","23:26","7","0","0","0","0","0"
"UA","04/21/2023","0538","N33203","ORD","21:34","21:20","114","109","-14","21:15","5","0","0","0","0","0"
"UA","04/21/2023","0604","N831UA","DEN","15:12","14:53","201","183","-19","14:44","9","0","0","0","0","0"
"UA","04/21/2023","1412","N29717","EWR","23:42","00:09","72","55","27","00:03","6","11","0","0","0","16"
"UA","04/22/2019","0607","N16701","ORD","21:02","21:54","110","162","52","21:49","5","0","0","52","0","0"
"UA","04/22/2022","1041","N427UA","DEN","15:06","14:57","198","199","-9","14:53","4","0","0","0","0","0"
"UA","04/22/2022","1185","N815UA","ORD","21:59","22:34","113","101","35","22:27","7","35","0","0","0","0"
"UA","04/22/2022","2027","N822UA","IAD","23:37","23:44","70","65","7","23:38","6","0","0","0","0","0"
"UA","04/22/2023","0538","N458UA","ORD","21:34","21:28","114","108","-6","21:16","12","0","0","0","0","0"
"UA","04/22/2023","0604","N818UA","DEN","15:12","15:36","201","219","24","15:31","5","0","0","18","0","6"
"UA","04/22/2023","1412","N27515","EWR","23:17","14:35","72","72","918","14:30","5","722","0","0","0","196"
"UA","04/23/2019","0607","N496UA","ORD","21:02","21:02","110","100","0","20:56","6","0","0","0","0","0"
"UA","04/23/2022","1041","N4888U","DEN","15:11","15:17","202","208","6","15:12","5","0","0","0","0","0"
"UA","04/23/2022","1185","N801UA","ORD","20:58","20:53","113","100","-5","20:48","5","0","0","0","0","0"
"UA","04/23/2022","2027","N871UA","IAD","23:37","23:25","70","63","-12","23:21","4","0","0","0","0","0"
"UA","04/23/2023","0538","N897UA","ORD","21:34","22:43","114","105","69","22:37","6","69","0","0","0","0"
"UA","04/23/2023","0604","N824UA","DEN","15:12","15:03","201","199","-9","14:58","5","0","0","0","0","0"
"UA","04/23/2023","1412","N23707","EWR","23:42","23:49","72","63","7","23:46","3","0","0","0","0","0"
"UA","04/24/2019","0607","N27724","ORD","21:02","20:50","110","101","-12","20:45","5","0","0","0","0","0"
"UA","04/24/2022","1041","N813UA","DEN","15:11","14:56","202","190","-15","14:52","4","0","0","0","0","0"
"UA","04/24/2022","1185","N847UA","ORD","22:04","23:19","113","105","75","23:15","4","2","0","0","0","73"
"UA","04/24/2022","2027","N402UA","IAD","23:37","00:13","70","57","36","00:09","4","23","0","0","0","13"
"UA","04/24/2023","0538","N827UA","ORD","21:34","21:15","114","96","-19","21:11","4","0","0","0","0","0"
"UA","04/24/2023","0604","N824UA","DEN","15:12","15:02","201","193","-10","14:58","4","0","0","0","0","0"
"UA","04/24/2023","1412","N17719","EWR","23:42","23:27","72","62","-15","23:22","5","0","0","0","0","0"
"UA","04/25/2019","0607","N12754","ORD","21:02","20:45","110","98","-17","20:41","4","0","0","0","0","0"
"UA","04/25/2022","1041","N444UA","DEN","15:06","14:54","198","189","-12","14:47","7","0","0","0","0","0"
"UA","04/25/2022","1185","N836UA","ORD","21:59","21:52","113","113","-7","21:47","5","0","0","0","0","0"
"UA","04/25/2022","2027","N879UA","IAD","23:37","00:09","70","64","32","00:04","5","32","0","0","0","0"
"UA","04/25/2023","0538","N897UA","ORD","21:34","21:15","114","97","-19","21:11","4","0","0","0","0","0"
"UA","04/25/2023","0604","N828UA","DEN","15:12","15:27","201","195","15","15:22","5","4","0","0","0","11"
"UA","04/25/2023","1412","N16709","EWR","23:42","23:24","72","59","-18","23:19","5","0","0","0","0","0"
"UA","04/26/2019","0607","N16703","ORD","21:02","21:40","110","113","38","21:35","5","5","0","3","0","30"
"UA","04/26/2022","1041","N401UA","DEN","15:06","15:53","198","185","47","15:48","5","47","0","0","0","0"
