Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","03/05/2017","2036","N820AA","CLT","18:29","18:31","113","118","2","18:28","3","0","0","0","0","0"
"AA","03/05/2018","1794","N195UW","CLT","00:15","00:08","110","108","-7","00:03","5","0","0","0","0","0"
"AA","03/05/2018","2036","N815AW","CLT","18:32","18:51","118","128","19","18:47","4","9","0","10","0","0"
"AA","03/05/2019","1932","N838AW","CLT","15:16","15:04","111","95","-12","15:00","4","0","0","0","0","0"
"AA","03/05/2019","1976","N126UW","CLT","00:03","00:18","108","113","15","00:12","6","10","0","5","0","0"
"AA","03/05/2022","0404","N197UW","CLT","16:49","16:26","116","98","-23","16:22","4","0","0","0","0","0"
"AA","03/05/2022","0421","N751UW","DFW","22:41","22:32","186","166","-9","22:27","5","0","0","0","0","0"
"AA","03/05/2022","1976","N756US","CLT","00:32","00:23","112","106","-9","00:18","5","0","0","0","0","0"
"AA","03/05/2022","2730","N844NN","CLT","11:01","11:23","111","117","22","11:18","5","0","0","6","0","16"
"AA","03/05/2023","0404","N552UW","CLT","18:10","18:45","107","106","35","18:42","3","35","0","0","0","0"
"AA","03/05/2023","1880","N835AW","DFW","22:43","22:56","182","185","13","22:43","13","0","0","0","0","0"
"AA","03/06/2016","1971","N814AW","CLT","00:11","00:11","106","111","0","00:06","5","0","0","0","0","0"
"AA","03/06/2016","2036","N748UW","CLT","18:10","18:08","110","110","-2","18:05","3","0","0","0","0","0"
"AA","03/06/2017","1835","N107AA","CLT","00:01","23:52","106","101","-9","23:48","4","0","0","0","0","0"
"AA","03/06/2017","2036","N713AA","CLT","18:29","18:21","113","111","-8","18:17","4","0","0","0","0","0"
"AA","03/06/2018","1794","N189UW","CLT","00:15","00:01","110","99","-14","23:57","4","0","0","0","0","0"
"AA","03/06/2018","2036","N721UW","CLT","18:32","18:13","118","97","-19","18:10","3","0","0","0","0","0"
"AA","03/06/2019","1932","N713UW","CLT","15:16","15:23","111","117","7","15:16","7","0","0","0","0","0"
"AA","03/06/2019","1976","N122US","CLT","00:03","00:32","108","116","29","00:28","4","21","0","8","0","0"
"AA","03/06/2022","0404","N924US","CLT","16:38","16:15","114","99","-23","16:10","5","0","0","0","0","0"
"AA","03/06/2022","0421","N746UW","DFW","22:41","23:00","186","189","19","22:56","4","0","16","3","0","0"
"AA","03/06/2022","1976","N712US","CLT","00:32","00:14","112","101","-18","00:09","5","0","0","0","0","0"
"AA","03/06/2022","2730","N657AW","CLT","11:01","10:47","111","103","-14","10:43","4","0","0","0","0","0"
"AA","03/06/2023","0404","N723UW","CLT","18:10","18:59","107","109","49","18:54","5","47","0","2","0","0"
"AA","03/06/2023","1880","N770UW","DFW","22:43","22:27","182","171","-16","22:21","6","0","0","0","0","0"
"AA","03/07/2016","1971","N814AW","CLT","00:11","00:09","106","111","-2","00:05","4","0","0","0","0","0"
"AA","03/07/2016","2036","N741UW","CLT","18:10","17:55","110","102","-15","17:50","5","0","0","0","0","0"
"AA","03/07/2017","1835","N127AA","CLT","00:01","23:55","106","102","-6","23:49","6","0","0","0","0","0"
"AA","03/07/2017","2036","N740AA","CLT","18:29","18:12","113","99","-17","18:09","3","0","0","0","0","0"
"AA","03/07/2018","1794","N191UW","CLT","00:15","23:58","110","97","-17","23:54","4","0","0","0","0","0"
"AA","03/07/2018","2036","N769US","CLT","18:32","18:05","118","99","-27","18:02","3","0","0","0","0","0"
"AA","03/07/2019","1932","N760US","CLT","15:16","15:03","111","105","-13","15:00","3","0","0","0","0","0"
"AA","03/07/2019","1976","N119US","CLT","00:03","23:54","108","104","-9","23:49","5","0","0","0","0","0"
"AA","03/07/2022","0404","N920US","CLT","16:38","16:21","114","99","-17","16:16","5","0","0","0","0","0"
"AA","03/07/2022","0421","N9018E","DFW","22:41","22:28","186","171","-13","22:24","4","0","0","0","0","0"
"AA","03/07/2022","1976","N114UW","CLT","00:32","00:43","112","109","11","00:38","5","0","0","0","0","0"
"AA","03/07/2022","2730","N121UW","CLT","11:01","10:56","111","105","-5","10:52","4","0","0","0","0","0"
"AA","03/07/2023","1880","N757UW","DFW","22:43","22:33","182","176","-10","22:29","4","0","0","0","0","0"
"AA","03/08/2016","1971","N814AW","CLT","00:11","00:15","106","107","4","00:11","4","0","0","0","0","0"
"AA","03/08/2016","2036","N721UW","CLT","18:10","17:56","110","101","-14","17:52","4","0","0","0","0","0"
"AA","03/08/2017","1835","N104AA","CLT","00:01","23:46","106","99","-15","23:42","4","0","0","0","0","0"
"AA","03/08/2017","2036","N725AA","CLT","18:29","18:10","113","98","-19","18:05","5","0","0","0","0","0"
"AA","03/08/2018","1794","N157UW","CLT","00:15","00:06","110","108","-9","00:01","5","0","0","0","0","0"
"AA","03/08/2018","2036","N819AW","CLT","18:32","18:12","118","105","-20","18:09","3","0","0","0","0","0"
"AA","03/08/2019","1932","N751UW","CLT","15:16","15:02","111","102","-14","14:59","3","0","0","0","0","0"
"AA","03/08/2019","1976","N122US","CLT","00:03","23:56","108","103","-7","23:51","5","0","0","0","0","0"
"AA","03/08/2022","0404","N927UW","CLT","16:38","16:12","114","95","-26","16:07","5","0","0","0","0","0"
"AA","03/08/2022","0421","N774XF","DFW","22:41","22:17","186","157","-24","22:13","4","0","0","0","0","0"
"AA","03/08/2022","1976","N757UW","CLT","22:43","22:59","118","84","16","22:56","3","16","0","0","0","0"
"AA","03/08/2022","2730","N663AW","CLT","11:01","10:53","111","106","-8","10:50","3","0","0","0","0","0"
"AA","03/08/2023","0404","N826AW","CLT","18:10","18:03","107","104","-7","18:00","3","0","0","0","0","0"
"AA","03/08/2023","1880","N776XF","DFW","22:43","22:34","182","178","-9","22:29","5","0","0","0","0","0"
"AA","03/09/2016","1971","N755US","CLT","00:11","00:26","106","104","15","00:21","5","15","0","0","0","0"
"AA","03/09/2016","2036","N740UW","CLT","18:10","17:56","110","101","-14","17:53","3","0","0","0","0","0"
"AA","03/09/2017","1835","N114AA","CLT","00:01","00:21","106","112","20","00:17","4","0","0","6","0","14"
"AA","03/09/2017","2036","N829AA","CLT","18:29","18:24","113","112","-5","18:20","4","0","0","0","0","0"
"AA","03/09/2018","1794","N580UW","CLT","00:15","00:15","110","112","0","00:09","6","0","0","0","0","0"
"AA","03/09/2018","2036","N808AW","CLT","18:32","18:26","118","113","-6","18:23","3","0","0","0","0","0"
"AA","03/09/2019","1932","N760US","CLT","15:16","15:09","111","109","-7","15:04","5","0","0","0","0","0"
"AA","03/09/2019","1976","N112US","CLT","00:03","23:57","108","93","-6","23:54","3","0","0","0","0","0"
"AA","03/09/2022","0404","N196UW","CLT","16:38","16:04","114","88","-34","16:00","4","0","0","0","0","0"
"AA","03/09/2022","0421","N744P","DFW","22:41","22:10","186","159","-31","22:06","4","0","0","0","0","0"
"AA","03/09/2022","1976","N840AW","CLT","22:43","23:45","118","96","62","23:38","7","62","0","0","0","0"
"AA","03/09/2022","2730","N660AW","CLT","11:01","10:59","111","113","-2","10:56","3","0","0","0","0","0"
"AA","03/09/2023","0404","N775XF","CLT","18:10","18:14","107","115","4","18:09","5","0","0","0","0","0"
"AA","03/09/2023","1880","N753US","DFW","22:43","22:31","182","167","-12","22:27","4","0","0","0","0","0"
"AA","03/10/2016","1971","N755US","CLT","00:11","23:55","106","96","-16","23:51","4","0","0","0","0","0"
"AA","03/10/2016","2036","N722US","CLT","18:10","17:59","110","101","-11","17:55","4","0","0","0","0","0"
"AA","03/10/2017","1835","N105AA","CLT","00:01","00:29","106","114","28","00:24","5","0","0","8","0","20"
"AA","03/10/2017","2036","N732AA","CLT","18:29","18:16","113","104","-13","18:13","3","0","0","0","0","0"
"AA","03/10/2018","1794","N544UW","CLT","00:15","00:03","110","103","-12","23:59","4","0","0","0","0","0"
"AA","03/10/2018","2036","N839AW","CLT","18:32","18:18","118","110","-14","18:15","3","0","0","0","0","0"
"AA","03/10/2019","1932","N810AW","CLT","15:16","15:16","111","112","0","15:12","4","0","0","0","0","0"
"AA","03/10/2019","1976","N109UW","CLT","00:03","00:23","108","113","20","00:19","4","0","0","5","0","15"
"AA","03/10/2022","0404","N920US","CLT","16:38","16:54","114","93","16","16:49","5","16","0","0","0","0"
"AA","03/10/2022","0421","N825AW","DFW","22:41","22:36","186","168","-5","22:32","4","0","0","0","0","0"
"AA","03/10/2022","1976","N801AW","CLT","00:32","00:30","112","103","-2","00:24","6","0","0","0","0","0"
"AA","03/10/2022","2730","N124US","CLT","11:01","10:58","111","104","-3","10:53","5","0","0","0","0","0"
"AA","03/10/2023","0404","N804AW","CLT","18:10","18:13","107","110","3","18:08","5","0","0","0","0","0"
"AA","03/10/2023","1880","N812AW","DFW","22:43","22:31","182","178","-12","22:27","4","0","0","0","0","0"
"AA","03/11/2016","1971","N755US","CLT","00:11","00:09","106","107","-2","00:04","5","0","0","0","0","0"
"AA","03/11/2016","2036","N723UW","CLT","18:10","17:54","110","97","-16","17:50","4","0","0","0","0","0"
"AA","03/11/2017","2036","N760AA","CLT","18:29","18:23","113","112","-6","18:18","5","0","0","0","0","0"
"AA","03/11/2018","1794","N551UW","CLT","00:15","24:00","110","102","-15","23:56","4","0","0","0","0","0"
"AA","03/11/2018","2036","N763US","CLT","18:32","18:33","118","115","1","18:29","4","0","0","0","0","0"
"AA","03/11/2019","1932","N821AW","CLT","15:16","15:03","111","103","-13","15:00","3","0","0","0","0","0"
"AA","03/11/2019","1976","N114UW","CLT","00:03","00:05","108","114","2","24:00","5","0","0","0","0","0"
"AA","03/11/2022","0404","N920US","CLT","16:38","16:25","114","94","-13","16:20","5","0","0","0","0","0"
"AA","03/11/2022","0421","N703UW","DFW","22:41","22:15","186","157","-26","22:10","5","0","0","0","0","0"
"AA","03/11/2022","1976","N128UW","CLT","00:32","00:14","112","99","-18","00:11","3","0","0","0","0","0"
"AA","03/11/2022","2730","N124US","CLT","11:01","10:42","111","92","-19","10:39","3","0","0","0","0","0"
"AA","03/11/2023","0404","N152UW","CLT","18:20","18:18","110","111","-2","18:13","5","0","0","0","0","0"
"AA","03/11/2023","1880","N828AW","DFW","22:43","23:14","182","189","31","23:05","9","24","0","7","0","0"
"AA","03/12/2016","2036","N742PS","CLT","18:10","17:55","110","101","-15","17:52","3","0","0","0","0","0"
"AA","03/12/2017","1835","N104AA","CLT","00:01","24:00","106","105","-1","23:55","5","0","0","0","0","0"
"AA","03/12/2017","2036","N702AA","CLT","18:29","18:23","113","109","-6","18:20","3","0","0","0","0","0"
"AA","03/12/2018","1794","N563UW","CLT","00:15","00:32","110","121","17","00:24","8","6","0","11","0","0"
"AA","03/12/2018","2036","N839AW","CLT","18:32","19:31","118","100","59","19:27","4","59","0","0","0","0"
"AA","03/12/2019","1932","N770UW","CLT","15:16","15:32","111","124","16","15:28","4","0","0","16","0","0"
"AA","03/12/2019","1976","N111US","CLT","00:03","00:09","108","115","6","00:05","4","0","0","0","0","0"
"AA","03/12/2022","0404","N974UY","CLT","16:49","17:49","116","103","60","17:41","8","60","0","0","0","0"
"AA","03/12/2022","0421","N758US","DFW","22:41","22:45","186","181","4","22:40","5","0","0","0","0","0"
"AA","03/12/2022","1976","N801AW","CLT","00:32","01:03","112","104","31","00:58","5","31","0","0","0","0"
"AA","03/12/2022","2730","N992AN","CLT","11:01","10:44","111","92","-17","10:38","6","0","0","0","0","0"
"AA","03/12/2023","0404","N552UW","CLT","18:10","18:02","107","100","-8","17:57","5","0","0","0","0","0"
"AA","03/12/2023","1880","N806AW","DFW","22:43","02:55","182","164","252","02:51","4","166","0","0","0","86"
"AA","03/13/2016","1971","N803AW","CLT","00:11","24:00","106","104","-11","23:55","5","0","0","0","0","0"
"AA","03/13/2016","2036","N822AW","CLT","18:10","18:04","110","97","-6","17:59","5","0","0","0","0","0"
"AA","03/13/2017","1835","N112AA","CLT","00:01","23:48","106","90","-13","23:43","5","0","0","0","0","0"
"AA","03/13/2017","2036","N814AA","CLT","18:29","18:13","113","94","-16","18:09","4","0","0","0","0","0"
"AA","03/13/2018","1794","N927UW","CLT","00:15","00:52","110","93","37","00:48","4","37","0","0","0","0"
"AA","03/13/2018","2036","N712US","CLT","18:32","18:22","118","113","-10","18:19","3","0","0","0","0","0"
"AA","03/13/2019","1932","N833AW","CLT","15:16","15:08","111","109","-8","15:04","4","0","0","0","0","0"
"AA","03/13/2019","1976","N109UW","CLT","00:03","24:00","108","105","-3","23:57","3","0","0","0","0","0"
"AA","03/13/2022","0404","N162UW","CLT","16:38","16:23","114","104","-15","16:16","7","0","0","0","0","0"
"AA","03/13/2022","0421","N715UW","DFW","22:41","22:20","186","166","-21","22:16","4","0","0","0","0","0"
"AA","03/13/2022","1976","N722US","CLT","00:32","00:51","112","107","19","00:46","5","6","0","0","0","13"
"AA","03/13/2022","2730","N660AW","CLT","11:01","10:50","111","104","-11","10:45","5","0","0","0","0","0"
"AA","03/13/2023","0404","N809AW","CLT","18:10","18:03","107","105","-7","17:59","4","0","0","0","0","0"
"AA","03/13/2023","1880","N768US","DFW","22:43","22:30","182","174","-13","22:25","5","0","0","0","0","0"
"AA","03/14/2016","1971","N809AW","CLT","00:11","00:44","106","107","33","00:38","6","5","0","1","0","27"
"AA","03/14/2016","2036","N712US","CLT","18:10","17:54","110","100","-16","17:50","4","0","0","0","0","0"
"AA","03/14/2017","1835","N105AA","CLT","00:01","00:00","106","0","0","00:00","0","0","0","0","0","0"
"AA","03/14/2017","2036","N723AA","CLT","18:29","00:00","113","0","0","00:00","0","0","0","0","0","0"
"AA","03/14/2018","1794","N172US","CLT","00:15","00:22","110","121","7","00:11","11","0","0","0","0","0"
"AA","03/14/2018","2036","N703UW","CLT","18:32","19:19","118","115","47","19:13","6","4","0","0","0","43"
