Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","04/13/2013","2710","N932LR","CLT","12:59","12:46","104","90","-13","12:43","3","0","0","0","0","0"
"YV","04/13/2013","3763","N502MJ","ORD","15:52","15:39","102","94","-13","15:32","7","0","0","0","0","0"
"YV","04/13/2013","3792","N507MJ","IAD","13:55","13:57","80","89","2","13:31","26","0","0","0","0","0"
"YV","04/13/2018","6030","N510MJ","IAD","14:02","13:32","87","67","-30","13:29","3","0","0","0","0","0"
"YV","04/13/2018","6208","N522LR","IAD","23:36","22:56","91","57","-40","22:51","5","0","0","0","0","0"
"YV","04/13/2019","6058","N501MJ","IAD","19:24","18:51","89","63","-33","18:46","5","0","0","0","0","0"
"YV","04/13/2019","6104","N521LR","IAD","23:16","22:51","76","58","-25","22:47","4","0","0","0","0","0"
"YV","04/13/2019","6361","N512MJ","IAD","13:48","13:36","78","69","-12","13:25","11","0","0","0","0","0"
"YV","04/13/2020","6060","N516LR","IAD","18:42","18:11","87","68","-31","18:08","3","0","0","0","0","0"
"YV","04/13/2020","6287","N507MJ","IAD","13:56","00:00","76","0","0","00:00","0","0","0","0","0","0"
"YV","04/13/2022","6080","N89349","IAD","18:32","18:09","87","64","-23","18:04","5","0","0","0","0","0"
"YV","04/14/2007","2628","N938LR","CLT","16:10","16:00","110","100","-10","15:55","5","0","0","0","0","0"
"YV","04/14/2009","7116","N17337","IAD","09:53","10:03","78","68","10","09:57","6","0","0","0","0","0"
"YV","04/14/2009","7268","N509MJ","IAD","18:12","18:24","77","89","12","18:20","4","0","0","0","0","0"
"YV","04/14/2009","7296","N521LR","IAD","13:43","13:31","76","65","-12","13:28","3","0","0","0","0","0"
"YV","04/14/2010","7153","N511MJ","IAD","13:40","14:09","75","65","29","14:06","3","29","0","0","0","0"
"YV","04/14/2010","7180","N77195","IAD","10:00","09:51","76","70","-9","09:47","4","0","0","0","0","0"
"YV","04/14/2010","7334","N515MJ","ORD","23:53","23:35","108","96","-18","23:30","5","0","0","0","0","0"
"YV","04/14/2011","7286","N519LR","ORD","21:34","22:24","104","95","50","22:20","4","0","0","0","0","50"
"YV","04/14/2012","3746","N505MJ","ORD","22:51","22:38","107","96","-13","22:33","5","0","0","0","0","0"
"YV","04/14/2012","3749","N503MJ","IAD","18:46","18:31","75","64","-15","18:27","4","0","0","0","0","0"
"YV","04/14/2012","3770","N505MJ","ORD","15:44","16:44","104","95","60","16:41","3","60","0","0","0","0"
"YV","04/14/2013","2658","N920FJ","CLT","21:32","23:17","108","89","105","23:14","3","105","0","0","0","0"
"YV","04/14/2019","6058","N521LR","IAD","19:24","18:57","89","71","-27","18:53","4","0","0","0","0","0"
"YV","04/14/2019","6104","N502MJ","IAD","23:16","23:04","76","66","-12","23:00","4","0","0","0","0","0"
"YV","04/14/2019","6361","N507MJ","IAD","13:48","13:27","78","61","-21","13:23","4","0","0","0","0","0"
"YV","04/14/2020","6060","N516LR","IAD","18:42","18:22","87","57","-20","18:18","4","0","0","0","0","0"
"YV","04/14/2020","6287","N501MJ","IAD","13:56","00:00","76","0","0","00:00","0","0","0","0","0","0"
"YV","04/14/2022","6080","N88310","IAD","18:32","18:11","87","70","-21","18:07","4","0","0","0","0","0"
"YV","04/15/2006","5040","N935LR","CLT","17:46","17:50","111","105","4","17:46","4","0","0","0","0","0"
"YV","04/15/2007","2642","N939LR","CLT","18:07","18:41","112","96","34","18:39","2","0","0","0","0","34"
"YV","04/15/2009","7116","N27173","IAD","09:53","09:35","78","68","-18","09:33","2","0","0","0","0","0"
"YV","04/15/2009","7133","N509MJ","ORD","23:58","00:14","106","114","16","00:07","7","16","0","0","0","0"
"YV","04/15/2009","7268","N516LR","IAD","18:12","18:10","77","70","-2","18:08","2","0","0","0","0","0"
"YV","04/15/2009","7296","N516LR","IAD","13:43","13:38","76","66","-5","13:35","3","0","0","0","0","0"
"YV","04/15/2010","7153","N519LR","IAD","13:40","14:02","75","74","22","13:54","8","22","0","0","0","0"
"YV","04/15/2010","7180","N650ML","IAD","10:00","09:49","76","79","-11","09:32","17","0","0","0","0","0"
"YV","04/15/2010","7334","N505MJ","ORD","23:53","23:35","108","96","-18","23:32","3","0","0","0","0","0"
"YV","04/15/2011","7286","N508MJ","ORD","21:34","00:00","104","0","0","00:00","0","0","0","0","0","0"
"YV","04/15/2012","3749","N510MJ","IAD","18:46","18:28","75","64","-18","18:23","5","0","0","0","0","0"
"YV","04/15/2012","3770","N513MJ","ORD","16:22","16:26","104","111","4","16:21","5","0","0","0","0","0"
"YV","04/15/2013","2658","N918FJ","CLT","21:32","21:29","108","109","-3","21:25","4","0","0","0","0","0"
"YV","04/15/2013","2710","N924FJ","CLT","14:39","14:34","104","104","-5","14:31","3","0","0","0","0","0"
"YV","04/15/2013","3748","N518LR","ORD","09:22","09:18","102","91","-4","09:15","3","0","0","0","0","0"
"YV","04/15/2013","3763","N510MJ","ORD","16:42","16:32","102","101","-10","16:28","4","0","0","0","0","0"
"YV","04/15/2018","6030","N506MJ","IAD","13:57","13:42","87","72","-15","13:29","13","0","0","0","0","0"
"YV","04/15/2018","6208","N502MJ","IAD","23:36","00:58","91","134","82","00:55","3","0","0","82","0","0"
"YV","04/15/2019","6058","N518LR","IAD","19:24","20:03","89","73","39","19:59","4","0","0","0","0","39"
"YV","04/15/2019","6104","N521LR","IAD","23:16","23:10","76","73","-6","23:07","3","0","0","0","0","0"
"YV","04/15/2019","6361","N507MJ","IAD","13:48","13:33","78","70","-15","13:28","5","0","0","0","0","0"
"YV","04/15/2020","6060","N501MJ","IAD","18:42","18:07","87","60","-35","18:05","2","0","0","0","0","0"
"YV","04/15/2020","6287","N515MJ","IAD","13:56","00:00","76","0","0","00:00","0","0","0","0","0","0"
"YV","04/15/2022","6080","N89349","IAD","18:32","18:34","87","89","2","18:29","5","0","0","0","0","0"
"YV","04/16/2007","2642","N911FJ","CLT","18:07","18:40","112","115","33","18:34","6","33","0","0","0","0"
"YV","04/16/2009","7116","N77195","IAD","09:53","09:44","78","73","-9","09:39","5","0","0","0","0","0"
"YV","04/16/2009","7133","N518LR","ORD","23:58","00:04","106","112","6","23:59","5","0","0","0","0","0"
"YV","04/16/2009","7268","N514MJ","IAD","18:12","18:12","77","79","0","18:09","3","0","0","0","0","0"
"YV","04/16/2009","7296","N501MJ","IAD","13:43","13:47","76","80","4","13:43","4","0","0","0","0","0"
"YV","04/16/2010","7153","N508MJ","IAD","13:40","13:37","75","71","-3","13:33","4","0","0","0","0","0"
"YV","04/16/2010","7180","N75995","IAD","10:00","09:49","76","71","-11","09:44","5","0","0","0","0","0"
"YV","04/16/2010","7334","N519LR","ORD","23:53","01:15","108","90","82","01:10","5","82","0","0","0","0"
"YV","04/16/2011","2618","N903FJ","CLT","11:09","11:11","105","101","2","11:08","3","0","0","0","0","0"
"YV","04/16/2011","7286","N507MJ","ORD","23:52","23:58","104","100","6","23:53","5","0","0","0","0","0"
"YV","04/16/2012","3749","N506MJ","IAD","18:46","18:27","75","57","-19","18:24","3","0","0","0","0","0"
"YV","04/16/2012","3770","N518LR","ORD","16:15","16:00","104","90","-15","15:57","3","0","0","0","0","0"
"YV","04/16/2013","2658","N927LR","CLT","21:32","21:33","108","113","1","21:30","3","0","0","0","0","0"
"YV","04/16/2013","2710","N909FJ","CLT","14:39","17:46","104","101","187","17:42","4","187","0","0","0","0"
"YV","04/16/2013","3748","N522LR","ORD","09:22","09:06","102","88","-16","09:03","3","0","0","0","0","0"
"YV","04/16/2013","3763","N507MJ","ORD","16:42","16:26","102","91","-16","16:23","3","0","0","0","0","0"
"YV","04/16/2018","6030","N518LR","IAD","14:02","13:31","87","60","-31","13:27","4","0","0","0","0","0"
"YV","04/16/2018","6208","N508MJ","IAD","23:36","23:23","91","79","-13","23:18","5","0","0","0","0","0"
"YV","04/16/2019","6104","N506MJ","IAD","23:16","23:10","76","75","-6","23:06","4","0","0","0","0","0"
"YV","04/16/2019","6361","N511MJ","IAD","13:48","13:23","78","57","-25","13:19","4","0","0","0","0","0"
"YV","04/16/2020","6060","N507MJ","IAD","18:42","00:00","87","0","0","00:00","0","0","0","0","0","0"
"YV","04/16/2020","6287","N516LR","IAD","13:56","00:00","76","0","0","00:00","0","0","0","0","0","0"
"YV","04/16/2022","6080","N89304","IAD","18:32","18:11","87","67","-21","18:06","5","0","0","0","0","0"
"YV","04/17/2007","2642","N956LR","CLT","18:07","18:15","112","113","8","18:08","7","0","0","0","0","0"
"YV","04/17/2009","7116","N17175","IAD","09:53","09:50","78","82","-3","09:35","15","0","0","0","0","0"
"YV","04/17/2009","7133","N518LR","ORD","23:58","23:48","106","98","-10","23:43","5","0","0","0","0","0"
"YV","04/17/2009","7268","N503MJ","IAD","18:12","17:57","77","71","-15","17:54","3","0","0","0","0","0"
"YV","04/17/2009","7296","N503MJ","IAD","13:43","13:40","76","73","-3","13:37","3","0","0","0","0","0"
"YV","04/17/2010","7153","N510MJ","IAD","13:40","13:38","75","73","-2","13:35","3","0","0","0","0","0"
"YV","04/17/2010","7324","N75995","IAD","10:00","09:52","76","67","-8","09:46","6","0","0","0","0","0"
"YV","04/17/2011","2618","N932LR","CLT","11:09","11:15","105","111","6","11:11","4","0","0","0","0","0"
"YV","04/17/2011","7255","N506MJ","IAD","13:25","13:15","66","57","-10","13:12","3","0","0","0","0","0"
"YV","04/17/2011","7286","N504MJ","ORD","21:34","21:18","104","95","-16","21:12","6","0","0","0","0","0"
"YV","04/17/2012","3749","N516LR","IAD","18:46","18:32","75","66","-14","18:29","3","0","0","0","0","0"
